book_name,scoring_method,timestamp,Score,Latex Errors,Latex Warnings,Bibtex (metadata),Bibtex extracted (json),Entries Cited,Chapters (metadata),Chapters (output),Sections (metadata),Sections (output),Subsections (metadata),Subsections (output),Figures (metadata),Figures (output),Tables (metadata),Tables (output),Index Entries (metadata),Index Entries (output)
assembly,multi-metric,2025-10-05T19:44:14.375910,18.0,53,5,-1,3,0,16,2,126,159,12,15,16,55,32,14,-1,0
assembly,multi-metric,2025-10-06T13:11:41.692876,-47.2,67,2,-1,3,0,16,0,126,90,12,122,16,67,32,21,-1,0
